runtime,l1_error,l2_error,rel_error
1.240259172916412354e+02,1.039579319741635111e+01,3.238167026095840697e+02,3.209356052800845793e-01
1.226900930404663086e+02,9.967073328714038283e+00,3.501741303894700081e+02,3.156962798015353622e-01
1.291937232017517090e+02,9.243153824411434627e+00,3.547356442129377001e+02,2.349952388928001068e-01
1.296995644569396973e+02,8.584243483062666158e+00,1.970562553325046906e+02,3.037697593583623679e-01
1.270046331882476807e+02,1.219392547284694217e+01,6.114402514871555923e+02,3.233026613059733489e-01
1.385816473960876465e+02,8.495871056124673970e+00,4.417017021160079366e+02,2.552643058147865962e-01
1.380902001857757568e+02,9.319682941920401475e+00,3.536805762488377241e+02,3.045752060403294492e-01
1.274281048774719238e+02,1.194776915169407161e+01,6.872757072013496327e+02,2.675314946663894800e-01
1.254148886203765869e+02,9.064602756924385218e+00,3.250475798399418181e+02,3.062311977104136829e-01
1.224298524856567383e+02,7.027147891167931704e+00,1.181629770337895025e+02,2.376083301451893393e-01
