x, true, terminal, branch, bsde
1.000000000000000000e+02,2.104638092751044454e+01,2.000000000000001421e+01,2.104777908325195312e+01,1.972571372985839844e+01
1.010101010101010104e+02,2.115240870649824245e+01,2.010075630518425172e+01,2.115428733825683594e+01,1.982706260681152344e+01
1.020202020202020208e+02,2.125790765874219446e+01,2.020101007575632224e+01,2.125891304016113281e+01,1.992667388916015625e+01
1.030303030303030312e+02,2.136288561895320015e+01,2.030076875690210159e+01,2.136487579345703125e+01,2.002490806579589844e+01
1.040404040404040416e+02,2.146735023027632749e+01,2.040003961176586955e+01,2.147154617309570312e+01,2.012250137329101562e+01
1.050505050505050519e+02,2.157130895078489274e+01,2.049882972762154409e+01,2.156967544555664062e+01,2.021982955932617188e+01
1.060606060606060623e+02,2.167476905969426682e+01,2.059714602177750464e+01,2.167934036254882812e+01,2.031699180603027344e+01
1.070707070707070727e+02,2.177773766330991734e+01,2.069499524722894890e+01,2.177813720703125000e+01,2.041371536254882812e+01
1.080808080808080831e+02,2.188022170072357042e+01,2.079238399807085003e+01,2.187879562377929688e+01,2.050958633422851562e+01
1.090909090909090935e+02,2.198222794927034229e+01,2.088931871468375334e+01,2.198381423950195312e+01,2.060413169860839844e+01
1.101010101010101039e+02,2.208376302975898398e+01,2.098580568870399432e+01,2.208628463745117188e+01,2.069714736938476562e+01
1.111111111111111143e+02,2.218483341148670718e+01,2.108185106778920570e+01,2.218845558166503906e+01,2.078865432739257812e+01
1.121212121212121247e+02,2.228544541704932058e+01,2.117746086018928153e+01,2.228818702697753906e+01,2.087891578674316406e+01
1.131313131313131350e+02,2.238560522695672006e+01,2.127264093913243315e+01,2.237308120727539062e+01,2.096833801269531250e+01
1.141414141414141454e+02,2.248531888406342460e+01,2.136739704703539644e+01,2.247930145263671875e+01,2.105741691589355469e+01
1.151515151515151558e+02,2.258459229782301492e+01,2.146173479954640584e+01,2.258726882934570312e+01,2.114666175842285156e+01
1.161616161616161662e+02,2.268343124837497271e+01,2.155565968942878641e+01,2.268693161010742188e+01,2.123646736145019531e+01
1.171717171717171766e+02,2.278184139047196410e+01,2.164917709029304760e+01,2.278802299499511719e+01,2.132719039916992188e+01
1.181818181818181870e+02,2.287982825725510239e+01,2.174229226018437089e+01,2.288248062133789062e+01,2.141908454895019531e+01
1.191919191919191974e+02,2.297739726388427073e+01,2.183501034503252569e+01,2.297854804992675781e+01,2.151221847534179688e+01
1.202020202020202078e+02,2.307455371103033670e+01,2.192733638197037038e+01,2.307441329956054688e+01,2.160641860961914062e+01
1.212121212121212182e+02,2.317130278823552203e+01,2.201927530252722320e+01,2.316742897033691406e+01,2.170108413696289062e+01
1.222222222222222285e+02,2.326764957714807025e+01,2.211083193570268079e+01,2.326814651489257812e+01,2.179537010192871094e+01
1.232323232323232389e+02,2.336359905463681130e+01,2.220201101092631646e+01,2.336914443969726562e+01,2.188853836059570312e+01
1.242424242424242493e+02,2.345915609579111560e+01,2.229281716090852328e+01,2.345919609069824219e+01,2.198046493530273438e+01
1.252525252525252597e+02,2.355432547681128241e+01,2.238325492438714903e+01,2.355491256713867188e+01,2.207148361206054688e+01
1.262626262626262701e+02,2.364911187779423685e+01,2.247332874877475106e+01,2.365225410461425781e+01,2.216225051879882812e+01
1.272727272727272805e+02,2.374351988541917891e+01,2.256304299271065972e+01,2.374242591857910156e+01,2.225318527221679688e+01
