x,y
9.955717468261718750e+01,2.102979660034179688e+01
1.462261505126953125e+02,2.548230934143066406e+01
1.904825134277343750e+02,2.903214645385742188e+01
1.845859985351562500e+02,2.857461929321289062e+01
1.184568786621093750e+02,2.291474151611328125e+01
1.177161331176757812e+02,2.287145996093750000e+01
1.914036407470703125e+02,2.910474014282226562e+01
1.794840698242187500e+02,2.821728134155273438e+01
1.849716339111328125e+02,2.865060997009277344e+01
1.842251586914062500e+02,2.854364395141601562e+01
1.741052703857421875e+02,2.779223442077636719e+01
1.651055603027343750e+02,2.707606887817382812e+01
1.864220275878906250e+02,2.873887443542480469e+01
1.854345703125000000e+02,2.869166564941406250e+01
1.377508697509765625e+02,2.467456245422363281e+01
1.331415710449218750e+02,2.432596969604492188e+01
1.006781768798828125e+02,2.114549255371093750e+01
1.647248535156250000e+02,2.699693107604980469e+01
1.142301788330078125e+02,2.248202133178710938e+01
9.764002990722656250e+01,2.083558273315429688e+01
1.425272674560546875e+02,2.515563201904296875e+01
1.878141784667968750e+02,2.888057899475097656e+01
1.046543579101562500e+02,2.151314926147460938e+01
1.162523498535156250e+02,2.272357559204101562e+01
1.138155212402343750e+02,2.243098831176757812e+01
1.574828491210937500e+02,2.636237525939941406e+01
2.060114898681640625e+02,3.023021316528320312e+01
1.953672180175781250e+02,2.945048713684082031e+01
1.008108673095703125e+02,2.109926795959472656e+01
1.786940917968750000e+02,2.816946601867675781e+01
1.073987350463867188e+02,2.181082344055175781e+01
1.923574218750000000e+02,2.920047569274902344e+01
1.904114074707031250e+02,2.902755546569824219e+01
2.027159729003906250e+02,3.000119400024414062e+01
1.021497039794921875e+02,2.131337738037109375e+01
1.218085327148437500e+02,2.325658798217773438e+01
1.903215789794921875e+02,2.908534431457519531e+01
1.086596145629882812e+02,2.194902420043945312e+01
9.734145355224609375e+01,2.074150848388671875e+01
1.495721282958984375e+02,2.570830535888671875e+01
1.867823791503906250e+02,2.871272468566894531e+01
1.866931762695312500e+02,2.878098106384277344e+01
1.516483764648437500e+02,2.593924140930175781e+01
1.024176635742187500e+02,2.127390861511230469e+01
1.639986267089843750e+02,2.699748039245605469e+01
1.837000122070312500e+02,2.854898071289062500e+01
1.113538970947265625e+02,2.222733116149902344e+01
1.247332916259765625e+02,2.345575904846191406e+01
1.055003585815429688e+02,2.159586334228515625e+01
1.549448089599609375e+02,2.618033981323242188e+01
1.776611633300781250e+02,2.805559921264648438e+01
1.674672851562500000e+02,2.723348999023437500e+01
9.496372222900390625e+01,2.049659347534179688e+01
1.709516754150390625e+02,2.745219612121582031e+01
1.939390869140625000e+02,2.936981201171875000e+01
1.355664978027343750e+02,2.453134155273437500e+01
1.742464141845703125e+02,2.784144592285156250e+01
1.431264953613281250e+02,2.504944229125976562e+01
1.524802093505859375e+02,2.597263526916503906e+01
1.086896667480468750e+02,2.198463249206542969e+01
1.020077819824218750e+02,2.123192787170410156e+01
1.052207107543945312e+02,2.158942222595214844e+01
1.456770629882812500e+02,2.541501808166503906e+01
1.649023742675781250e+02,2.700060272216796875e+01
1.549255065917968750e+02,2.613852500915527344e+01
1.451568145751953125e+02,2.532803344726562500e+01
2.023999176025390625e+02,2.986615562438964844e+01
1.164802246093750000e+02,2.273674964904785156e+01
1.845109100341796875e+02,2.865491485595703125e+01
9.297010803222656250e+01,2.029452705383300781e+01
1.765805053710937500e+02,2.792861175537109375e+01
1.542973022460937500e+02,2.616986083984375000e+01
1.421263122558593750e+02,2.513853454589843750e+01
1.970212402343750000e+02,2.958310890197753906e+01
2.035347137451171875e+02,3.003731918334960938e+01
