runtime,l1_error,l2_error,rel_error
4.546702027320861816e+01,5.560661202951126987e-03,5.500771071724437156e-05,5.350153083125914755e-01
4.512092566490173340e+01,3.337241949463574508e-03,1.905308998825946086e-05,5.185981559019670062e-01
4.501101875305175781e+01,3.828127835363905399e-03,2.331415485437930330e-05,2.204098092395125608e-01
4.496198558807373047e+01,3.865424170955894089e-03,2.193155400995164039e-05,4.256467491098521738e-01
4.516330146789550781e+01,4.217924991821966202e-03,3.351155310841936774e-05,3.401561329339694573e-01
4.510630035400390625e+01,6.755599502073461951e-03,6.433781392605939474e-05,5.556394915260026712e-01
4.531436181068420410e+01,5.019731115730849749e-03,3.628349800100414096e-05,1.677459834553799434e-01
4.507822632789611816e+01,4.803453297431114523e-03,4.727104674755968261e-05,4.656927406822084503e-01
4.494881868362426758e+01,4.943970281169070453e-03,4.060974625557409005e-05,2.068910917946183703e-01
4.504827189445495605e+01,7.091336342162517237e-03,8.581516055334574187e-05,1.335305298424017240e+00
