runtime,l1_error,l2_error,rel_error
1.116653163433074951e+02,5.818322786501160110e-03,3.888874800693555033e-05,2.710858648498957330e-02
1.116410799026489258e+02,3.266528511536567758e-03,2.381805586896921180e-05,2.303925564088002073e-02
1.116094281673431396e+02,4.628067523636633651e-03,2.997554311089959333e-05,9.858145277882104929e-03
1.116841964721679688e+02,2.496485154279587913e-03,8.288939018387993856e-06,1.019157098956421578e-02
1.116698367595672607e+02,3.642750250518879667e-03,2.072339129579962362e-05,9.666901465335268895e-03
1.116469857692718506e+02,3.546503216224296609e-03,2.272186494442459727e-05,8.986593565781434909e-03
1.116864399909973145e+02,4.908721829201139614e-03,3.679127798464573322e-05,1.855896721965006810e-02
1.116800582408905029e+02,1.079738220327230991e-02,1.944792315764839606e-04,4.755051557576978061e-02
1.115976953506469727e+02,2.023009789597802165e-03,5.194910153210117429e-06,7.307686687546153560e-03
1.116357219219207764e+02,2.408109646365144685e-02,9.530204694943683564e-04,5.893415588827619067e-02
