x, true, terminal, branch, dgm, bsde
-8.000000000000000000e+00,-9.998415637808975021e-01,-9.996646498695335170e-01,-9.992939233779907227e-01,-1.000641703605651855e+00,-9.996444582939147949e-01
-7.838383838383838231e+00,-9.998137778194258196e-01,-9.996058496279203176e-01,-9.992440342903137207e-01,-1.000613570213317871e+00,-9.996029138565063477e-01
-7.676767676767676463e+00,-9.997811199249833081e-01,-9.995367441385377694e-01,-9.992045164108276367e-01,-1.000580787658691406e+00,-9.995726346969604492e-01
-7.515151515151515582e+00,-9.997427362698743103e-01,-9.994555291401514552e-01,-9.991735219955444336e-01,-1.000542640686035156e+00,-9.995514154434204102e-01
-7.353535353535353813e+00,-9.996976235445693693e-01,-9.993600851729462775e-01,-9.991496205329895020e-01,-1.000497698783874512e+00,-9.995362162590026855e-01
-7.191919191919192045e+00,-9.996446028467416145e-01,-9.992479227792296914e-01,-9.991298913955688477e-01,-1.000445008277893066e+00,-9.995239973068237305e-01
-7.030303030303030276e+00,-9.995822890319209231e-01,-9.991161182779627614e-01,-9.991115331649780273e-01,-1.000383138656616211e+00,-9.995104670524597168e-01
-6.868686868686868507e+00,-9.995090547455711683e-01,-9.989612385303172637e-01,-9.990914463996887207e-01,-1.000310182571411133e+00,-9.994912147521972656e-01
-6.707070707070706739e+00,-9.994229882255741826e-01,-9.987792528625387689e-01,-9.990652799606323242e-01,-1.000224590301513672e+00,-9.994614720344543457e-01
-6.545454545454544970e+00,-9.993218438126250103e-01,-9.985654300274930950e-01,-9.990285038948059082e-01,-1.000123620033264160e+00,-9.994152188301086426e-01
-6.383838383838384090e+00,-9.992029839311379336e-01,-9.983142177652075677e-01,-9.989757537841796875e-01,-1.000004768371582031e+00,-9.993462562561035156e-01
-6.222222222222222321e+00,-9.990633111020194024e-01,-9.980191021642020877e-01,-9.989007115364074707e-01,-9.998649358749389648e-01,-9.992479085922241211e-01
-6.060606060606060552e+00,-9.988991883180733389e-01,-9.976724436299043708e-01,-9.987964630126953125e-01,-9.997001886367797852e-01,-9.991124272346496582e-01
-5.898989898989898784e+00,-9.987063458499756408e-01,-9.972652858368884488e-01,-9.986546635627746582e-01,-9.995061159133911133e-01,-9.989318847656250000e-01
-5.737373737373737015e+00,-9.984797722530670550e-01,-9.967871335850146952e-01,-9.984661340713500977e-01,-9.992779493331909180e-01,-9.986978769302368164e-01
-5.575757575757576134e+00,-9.982135870107651243e-01,-9.962256950083800966e-01,-9.982207417488098145e-01,-9.990097880363464355e-01,-9.984008669853210449e-01
-5.414141414141413478e+00,-9.979008918784280091e-01,-9.955665831211925054e-01,-9.979066848754882812e-01,-9.986944198608398438e-01,-9.980317950248718262e-01
-5.252525252525252597e+00,-9.975335975832487767e-01,-9.947929712587566531e-01,-9.975116848945617676e-01,-9.983237981796264648e-01,-9.975804090499877930e-01
-5.090909090909090828e+00,-9.971022220954177673e-01,-9.938851966332653554e-01,-9.970215559005737305e-01,-9.978887438774108887e-01,-9.970370531082153320e-01
-4.929292929292929060e+00,-9.965956562220883441e-01,-9.928203060435938365e-01,-9.964209794998168945e-01,-9.973780512809753418e-01,-9.963903427124023438e-01
-4.767676767676767291e+00,-9.960008918038791847e-01,-9.915715378558265236e-01,-9.956935644149780273e-01,-9.967788457870483398e-01,-9.956300854682922363e-01
-4.606060606060605522e+00,-9.953027073383523549e-01,-9.901077348456941429e-01,-9.948214292526245117e-01,-9.960761070251464844e-01,-9.947441816329956055e-01
-4.444444444444444642e+00,-9.944833054537964845e-01,-9.883926835546954504e-01,-9.937859773635864258e-01,-9.952524304389953613e-01,-9.937208890914916992e-01
