x, true, terminal, branch, dgm, bsde
-8.000000000000000000e+00,-9.998415637808975021e-01,-9.996646498695335170e-01,-9.996033906936645508e-01,-9.994409680366516113e-01,-9.987214803695678711e-01
-7.838383838383838231e+00,-9.998137778194258196e-01,-9.996058496279203176e-01,-9.993939399719238281e-01,-9.994047284126281738e-01,-9.989265203475952148e-01
-7.676767676767676463e+00,-9.997811199249833081e-01,-9.995367441385377694e-01,-9.992192387580871582e-01,-9.994089007377624512e-01,-9.989992380142211914e-01
-7.515151515151515582e+00,-9.997427362698743103e-01,-9.994555291401514552e-01,-9.992085695266723633e-01,-9.992817640304565430e-01,-9.989811778068542480e-01
-7.353535353535353813e+00,-9.996976235445693693e-01,-9.993600851729462775e-01,-9.991220235824584961e-01,-9.993911981582641602e-01,-9.989142417907714844e-01
-7.191919191919192045e+00,-9.996446028467416145e-01,-9.992479227792296914e-01,-9.991753697395324707e-01,-9.993209838867187500e-01,-9.992381334304809570e-01
-7.030303030303030276e+00,-9.995822890319209231e-01,-9.991161182779627614e-01,-9.991027712821960449e-01,-9.992504119873046875e-01,-9.988965988159179688e-01
-6.868686868686868507e+00,-9.995090547455711683e-01,-9.989612385303172637e-01,-9.992420077323913574e-01,-9.991515278816223145e-01,-9.992194175720214844e-01
-6.707070707070706739e+00,-9.994229882255741826e-01,-9.987792528625387689e-01,-9.990989565849304199e-01,-9.990572929382324219e-01,-9.990223050117492676e-01
-6.545454545454544970e+00,-9.993218438126250103e-01,-9.985654300274930950e-01,-9.989680051803588867e-01,-9.989770650863647461e-01,-9.991335868835449219e-01
-6.383838383838384090e+00,-9.992029839311379336e-01,-9.983142177652075677e-01,-9.989633560180664062e-01,-9.988499879837036133e-01,-9.990801811218261719e-01
-6.222222222222222321e+00,-9.990633111020194024e-01,-9.980191021642020877e-01,-9.988098144531250000e-01,-9.987214207649230957e-01,-9.991738200187683105e-01
-6.060606060606060552e+00,-9.988991883180733389e-01,-9.976724436299043708e-01,-9.988542795181274414e-01,-9.985207319259643555e-01,-9.988238215446472168e-01
-5.898989898989898784e+00,-9.987063458499756408e-01,-9.972652858368884488e-01,-9.985833168029785156e-01,-9.983618855476379395e-01,-9.986276626586914062e-01
-5.737373737373737015e+00,-9.984797722530670550e-01,-9.967871335850146952e-01,-9.984628558158874512e-01,-9.981433153152465820e-01,-9.982452392578125000e-01
-5.575757575757576134e+00,-9.982135870107651243e-01,-9.962256950083800966e-01,-9.983582496643066406e-01,-9.979549646377563477e-01,-9.979639053344726562e-01
-5.414141414141413478e+00,-9.979008918784280091e-01,-9.955665831211925054e-01,-9.980589151382446289e-01,-9.975767135620117188e-01,-9.975677728652954102e-01
-5.252525252525252597e+00,-9.975335975832487767e-01,-9.947929712587566531e-01,-9.976253509521484375e-01,-9.971858859062194824e-01,-9.968528747558593750e-01
-5.090909090909090828e+00,-9.971022220954177673e-01,-9.938851966332653554e-01,-9.971128702163696289e-01,-9.967061877250671387e-01,-9.963018298149108887e-01
-4.929292929292929060e+00,-9.965956562220883441e-01,-9.928203060435938365e-01,-9.967051744461059570e-01,-9.962555766105651855e-01,-9.957517385482788086e-01
-4.767676767676767291e+00,-9.960008918038791847e-01,-9.915715378558265236e-01,-9.959262609481811523e-01,-9.955905675888061523e-01,-9.950100779533386230e-01
-4.606060606060605522e+00,-9.953027073383523549e-01,-9.901077348456941429e-01,-9.952138066291809082e-01,-9.949508905410766602e-01,-9.942248463630676270e-01
-4.444444444444444642e+00,-9.944833054537964845e-01,-9.883926835546954504e-01,-9.942485094070434570e-01,-9.940072894096374512e-01,-9.930714368820190430e-01
-4.282828282828281985e+00,-9.935218963654577351e-01,-9.863843777109893018e-01,-9.929251670837402344e-01,-9.931062459945678711e-01,-9.922361373901367188e-01
-4.121212121212121104e+00,-9.923942213452703331e-01,-9.840342063345109969e-01,-9.915459752082824707e-01,-9.920305013656616211e-01,-9.911156892776489258e-01
-3.959595959595959336e+00,-9.910720104379610040e-01,-9.812860718046186870e-01,-9.899667501449584961e-01,-9.906517267227172852e-01,-9.898242950439453125e-01
-3.797979797979797567e+00,-9.895223693167103374e-01,-9.780754499402495306e-01,-9.880378842353820801e-01,-9.891778826713562012e-01,-9.884885549545288086e-01
-3.636363636363635798e+00,-9.877070915007377661e-01,-9.743284136501729753e-01,-9.858344197273254395e-01,-9.873936772346496582e-01,-9.862748384475708008e-01
-3.474747474747474030e+00,-9.855818944341115939e-01,-9.699606546598432688e-01,-9.830646514892578125e-01,-9.852553606033325195e-01,-9.841277003288269043e-01
-3.313131313131313149e+00,-9.830955815114004182e-01,-9.648765549480192716e-01,-9.800459742546081543e-01,-9.827477335929870605e-01,-9.814551472663879395e-01
-3.151515151515151381e+00,-9.801891374884015296e-01,-9.589683814952453256e-01,-9.767848849296569824e-01,-9.799912571907043457e-01,-9.780866503715515137e-01
-2.989898989898989612e+00,-9.767947723944170324e-01,-9.521157051695643414e-01,-9.731000065803527832e-01,-9.765344858169555664e-01,-9.746421575546264648e-01
-2.828282828282827843e+00,-9.728349397225322104e-01,-9.441851769246105697e-01,-9.689906835556030273e-01,-9.726999402046203613e-01,-9.704123735427856445e-01
-2.666666666666666075e+00,-9.682213690407697193e-01,-9.350308308713358718e-01,-9.644158482551574707e-01,-9.680041074752807617e-01,-9.652727842330932617e-01
-2.505050505050504306e+00,-9.628541719657063291e-01,-9.244951215841266112e-01,-9.591417312622070312e-01,-9.626998901367187500e-01,-9.597008824348449707e-01
-2.343434343434342537e+00,-9.566211042706767032e-01,-9.124109373658961797e-01,-9.534212946891784668e-01,-9.565815925598144531e-01,-9.530311822891235352e-01
-2.181818181818181657e+00,-9.493970960206847831e-01,-8.986048543325192428e-01,-9.465120434761047363e-01,-9.493233561515808105e-01,-9.455149769783020020e-01
-2.020202020202019888e+00,-9.410441956182433731e-01,-8.829018968282589253e-01,-9.387365579605102539e-01,-9.408796429634094238e-01,-9.367300868034362793e-01
-1.858585858585858119e+00,-9.314121109407346166e-01,-8.651320331909122530e-01,-9.296172261238098145e-01,-9.313189387321472168e-01,-9.272829294204711914e-01
-1.696969696969696351e+00,-9.203395680117469890e-01,-8.451385453887021448e-01,-9.189885258674621582e-01,-9.203059077262878418e-01,-9.162291288375854492e-01
-1.535353535353534582e+00,-9.076567390479040043e-01,-8.227882504972027222e-01,-9.065822362899780273e-01,-9.075471758842468262e-01,-9.041412472724914551e-01
-1.373737373737372813e+00,-8.931890082613872517e-01,-7.979833114578940290e-01,-8.921688199043273926e-01,-8.931499719619750977e-01,-8.898426890373229980e-01
-1.212121212121211933e+00,-8.767623329441829316e-01,-7.706740578775718165e-01,-8.756197094917297363e-01,-8.767112493515014648e-01,-8.733180165290832520e-01
-1.050505050505050164e+00,-8.582104034444000273e-01,-7.408718709475455855e-01,-8.572958707809448242e-01,-8.582814931869506836e-01,-8.546484708786010742e-01
-8.888888888888883955e-01,-8.373836916384680418e-01,-7.086608250294353928e-01,-8.366718292236328125e-01,-8.374847173690795898e-01,-8.334696888923645020e-01
-7.272727272727266268e-01,-8.141602888156842521e-01,-6.742065062693058941e-01,-8.142634630203247070e-01,-8.142191171646118164e-01,-8.104825019836425781e-01
-5.656565656565648581e-01,-7.884581645733358402e-01,-6.377603475050883652e-01,-7.894029021263122559e-01,-7.886196374893188477e-01,-7.856875658035278320e-01
-4.040404040404030894e-01,-7.602481392461897247e-01,-5.996580223598887427e-01,-7.614351511001586914e-01,-7.605611681938171387e-01,-7.592496275901794434e-01
-2.424242424242422089e-01,-7.295664896054883108e-01,-5.603109789415779973e-01,-7.303682565689086914e-01,-7.299655675888061523e-01,-7.312549352645874023e-01
-8.080808080808044025e-02,-6.965257671452720345e-01,-5.201910342008077004e-01,-6.972922682762145996e-01,-6.969994306564331055e-01,-7.011007070541381836e-01
8.080808080808132843e-02,-6.613221927835344349e-01,-4.798089657991920776e-01,-6.625120639801025391e-01,-6.618151068687438965e-01,-6.683673858642578125e-01
2.424242424242439853e-01,-6.242380037340861110e-01,-4.396890210584215031e-01,-6.239970922470092773e-01,-6.248364448547363281e-01,-6.322735548019409180e-01
4.040404040404048658e-01,-5.856374497802564472e-01,-4.003419776401108132e-01,-5.844302773475646973e-01,-5.863431692123413086e-01,-5.934259891510009766e-01
5.656565656565657463e-01,-5.459557911719563617e-01,-3.622396524949113572e-01,-5.458253026008605957e-01,-5.467795729637145996e-01,-5.538834333419799805e-01
7.272727272727284031e-01,-5.056815736258298832e-01,-3.257934937306937173e-01,-5.070633888244628906e-01,-5.066430568695068359e-01,-5.149950385093688965e-01
8.888888888888892836e-01,-4.653334866465960173e-01,-2.913391749705643852e-01,-4.673454761505126953e-01,-4.663887023925781250e-01,-4.766004979610443115e-01
1.050505050505051940e+00,-4.254340240389038463e-01,-2.591281290524540815e-01,-4.269598126411437988e-01,-4.263300001621246338e-01,-4.383606016635894775e-01
1.212121212121212821e+00,-3.864827341771588376e-01,-2.293259421224280170e-01,-3.873100876808166504e-01,-3.874825835227966309e-01,-4.005326330661773682e-01
1.373737373737373701e+00,-3.489319220527987708e-01,-2.020166885421057490e-01,-3.491843640804290771e-01,-3.498637676239013672e-01,-3.632101714611053467e-01
1.535353535353536358e+00,-3.131672251721525635e-01,-1.772117495027970002e-01,-3.134147226810455322e-01,-3.141091763973236084e-01,-3.267993330955505371e-01
1.696969696969697239e+00,-2.794946485406535341e-01,-1.548614546112977441e-01,-2.795660495758056641e-01,-2.802901864051818848e-01,-2.923269271850585938e-01
1.858585858585859896e+00,-2.481346222220722764e-01,-1.348679668090874695e-01,-2.482130080461502075e-01,-2.490455359220504761e-01,-2.600623369216918945e-01
2.020202020202020776e+00,-2.192226715220798039e-01,-1.170981031717410747e-01,-2.192651033401489258e-01,-2.203045338392257690e-01,-2.305080145597457886e-01
2.181818181818183433e+00,-1.928155485154762205e-01,-1.013951456674806462e-01,-1.927434504032135010e-01,-1.938268691301345825e-01,-2.036586999893188477e-01
2.343434343434344314e+00,-1.689012573664484540e-01,-8.758906263410359827e-02,-1.688151806592941284e-01,-1.699166595935821533e-01,-1.793171018362045288e-01
2.505050505050505194e+00,-1.474113134045061946e-01,-7.550487841587327775e-02,-1.471092998981475830e-01,-1.483443081378936768e-01,-1.572193801403045654e-01
2.666666666666667851e+00,-1.282337375925191592e-01,-6.496916912866401717e-02,-1.283832937479019165e-01,-1.294095963239669800e-01,-1.377901732921600342e-01
2.828282828282828731e+00,-1.112256035191468428e-01,-5.581482307538937482e-02,-1.112506985664367676e-01,-1.124696284532546997e-01,-1.200502067804336548e-01
2.989898989898991388e+00,-9.622432571655281652e-02,-4.788429483043560309e-02,-9.616051614284515381e-02,-9.756044298410415649e-02,-1.041230335831642151e-01
3.151515151515152269e+00,-8.305723156129135587e-02,-4.103161850475461891e-02,-8.319610357284545898e-02,-8.424320816993713379e-02,-9.008292108774185181e-02
3.313131313131314926e+00,-7.154924999639139527e-02,-3.512344505198067290e-02,-7.188761979341506958e-02,-7.301874458789825439e-02,-7.783544063568115234e-02
3.474747474747475806e+00,-6.152876163906295659e-02,-3.003934534015667568e-02,-6.183746457099914551e-02,-6.288633495569229126e-02,-6.707751005887985229e-02
3.636363636363636687e+00,-5.283178861182813435e-02,-2.567158634982702470e-02,-5.303729698061943054e-02,-5.418797582387924194e-02,-5.764815956354141235e-02
3.797979797979799343e+00,-4.530477154492673630e-02,-2.192455005975041393e-02,-4.556419327855110168e-02,-4.647468775510787964e-02,-4.935216158628463745e-02
3.959595959595960224e+00,-3.880620247289912061e-02,-1.871392819538125751e-02,-3.893970325589179993e-02,-4.004733636975288391e-02,-4.209416359663009644e-02
4.121212121212122881e+00,-3.320737209524871059e-02,-1.596579366548894763e-02,-3.332514688372612000e-02,-3.432555869221687317e-02,-3.577876836061477661e-02
4.282828282828283761e+00,-2.839246159186709084e-02,-1.361562228901064264e-02,-2.861121855676174164e-02,-2.951282262802124023e-02,-3.017478622496128082e-02
4.444444444444444642e+00,-2.425817285635101239e-02,-1.160731644530460516e-02,-2.447716332972049713e-02,-2.520825341343879700e-02,-2.525577507913112640e-02
4.606060606060607299e+00,-2.071305329248107618e-02,-9.892265154305857067e-03,-2.087403461337089539e-02,-2.167917601764202118e-02,-2.105890214443206787e-02
4.767676767676768179e+00,-1.767663617543424603e-02,-8.428462144173531900e-03,-1.788112893700599670e-02,-1.849877089262008667e-02,-1.792057044804096222e-02
4.929292929292930836e+00,-1.507848700727087987e-02,-7.179693956406107969e-03,-1.515703927725553513e-02,-1.584660820662975311e-02,-1.504031755030155182e-02
5.090909090909091717e+00,-1.285722098226194099e-02,-6.114803366734700152e-03,-1.302676089107990265e-02,-1.354289986193180084e-02,-1.244532503187656403e-02
5.252525252525254373e+00,-1.095953651441566867e-02,-5.207028741243235892e-03,-1.109272427856922150e-02,-1.156828831881284714e-02,-1.060103531926870346e-02
5.414141414141415254e+00,-9.339294237479034422e-03,-4.433416878807494577e-03,-9.587312117218971252e-03,-1.002782117575407028e-02,-9.112844243645668030e-03
5.575757575757576134e+00,-7.956659260224041574e-03,-3.774304991619903404e-03,-8.136685006320476532e-03,-8.588207885622978210e-03,-7.765285670757293701e-03
5.737373737373738791e+00,-6.777316013046985610e-03,-3.212866414985193764e-03,-6.807385478168725967e-03,-7.296483032405376434e-03,-6.841428577899932861e-03
5.898989898989899672e+00,-5.771759076163118785e-03,-2.734714163111551244e-03,-5.764076020568609238e-03,-6.319229491055011749e-03,-6.118846125900745392e-03
6.060606060606062329e+00,-4.914659347138583545e-03,-2.327556370095573701e-03,-4.954012576490640640e-03,-5.434565246105194092e-03,-5.351829342544078827e-03
6.222222222222223209e+00,-4.184302300764108917e-03,-1.980897835797912343e-03,-4.298501648008823395e-03,-4.673766437917947769e-03,-5.010799970477819443e-03
6.383838383838385866e+00,-3.562093530032728328e-03,-1.685782234792487788e-03,-3.497340949252247810e-03,-3.894445952028036118e-03,-4.817852284759283066e-03
6.545454545454546746e+00,-3.032125932513729527e-03,-1.434569972506849478e-03,-3.105309326201677322e-03,-3.476236714050173759e-03,-4.838407039642333984e-03
6.707070707070707627e+00,-2.580802593491471342e-03,-1.220747137461286602e-03,-2.542952774092555046e-03,-2.868165960535407066e-03,-4.549876786768436432e-03
6.868686868686870284e+00,-2.196509446178884772e-03,-1.038761469682625282e-03,-2.296156715601682663e-03,-2.530276076868176460e-03,-4.471021238714456558e-03
7.030303030303031164e+00,-1.869332036384618867e-03,-8.838817220372385819e-04,-1.921062590554356575e-03,-2.139809075742959976e-03,-4.824107978492975235e-03
7.191919191919193821e+00,-1.590811095760924498e-03,-7.520772207702530743e-04,-1.811928697861731052e-03,-1.746275229379534721e-03,-4.810615442693233490e-03
7.353535353535354702e+00,-1.353732072296942590e-03,-6.399148270537780014e-04,-1.330850645899772644e-03,-1.543878810480237007e-03,-4.548710770905017853e-03
