runtime,l1_error,l2_error,rel_error
4.932432770729064941e+01,3.154095768447690018e-02,7.482149751370219953e-03,1.484291602984318059e+00
4.844406819343566895e+01,2.205735196415759339e-02,2.108075550868805052e-03,8.295993591053367755e-01
5.145137500762939453e+01,2.861297178085000018e-02,1.703351435327145075e-03,5.823376993697860771e-01
4.874820327758789062e+01,2.684291008618560834e-02,1.882340378149543287e-03,8.052880173679760611e-01
4.847404742240905762e+01,2.787837271338516540e-02,3.217551093450506366e-03,3.012713745180405578e+00
4.798057675361633301e+01,1.920511475002397925e-02,1.409086443414410156e-03,1.934733599699028472e+00
4.638821792602539062e+01,2.294852294460632963e-02,1.874088739154310774e-03,1.260101998129478762e+00
4.571523356437683105e+01,2.901061607245826804e-02,3.189220306496936760e-03,2.086253424527858336e+00
4.795550489425659180e+01,1.735050550565091568e-02,1.559102844417429570e-03,1.685001809581977150e-01
4.861619663238525391e+01,2.182367004062648469e-02,1.288932316695096591e-03,4.814832791866561212e-01
