x,y
1.218085327148437500e+02,2.325841331481933594e+01
1.903215789794921875e+02,2.907572555541992188e+01
1.086596145629882812e+02,2.181138420104980469e+01
9.734145355224609375e+01,2.079558372497558594e+01
1.495721282958984375e+02,2.578593254089355469e+01
1.867823791503906250e+02,2.872266197204589844e+01
1.866931762695312500e+02,2.876465988159179688e+01
1.516483764648437500e+02,2.593038749694824219e+01
1.024176635742187500e+02,2.132800102233886719e+01
1.639986267089843750e+02,2.688573837280273438e+01
1.837000122070312500e+02,2.852012443542480469e+01
1.113538970947265625e+02,2.222482681274414062e+01
1.247332916259765625e+02,2.352540206909179688e+01
1.055003585815429688e+02,2.154741859436035156e+01
1.549448089599609375e+02,2.624028396606445312e+01
1.776611633300781250e+02,2.805979347229003906e+01
1.674672851562500000e+02,2.727368736267089844e+01
9.496372222900390625e+01,2.049767494201660156e+01
1.709516754150390625e+02,2.752639770507812500e+01
1.939390869140625000e+02,2.926880264282226562e+01
1.355664978027343750e+02,2.442117881774902344e+01
1.742464141845703125e+02,2.782075691223144531e+01
1.431264953613281250e+02,2.516854286193847656e+01
1.524802093505859375e+02,2.598836517333984375e+01
1.086896667480468750e+02,2.189329147338867188e+01
1.020077819824218750e+02,2.120913696289062500e+01
1.052207107543945312e+02,2.161742782592773438e+01
1.456770629882812500e+02,2.537397193908691406e+01
1.649023742675781250e+02,2.706760025024414062e+01
1.549255065917968750e+02,2.618789672851562500e+01
1.451568145751953125e+02,2.537873649597167969e+01
2.023999176025390625e+02,2.995229911804199219e+01
1.164802246093750000e+02,2.274085617065429688e+01
1.845109100341796875e+02,2.862703704833984375e+01
9.297010803222656250e+01,2.028883743286132812e+01
1.765805053710937500e+02,2.798210334777832031e+01
1.542973022460937500e+02,2.616050338745117188e+01
1.421263122558593750e+02,2.506746292114257812e+01
1.970212402343750000e+02,2.938076782226562500e+01
2.035347137451171875e+02,2.999803733825683594e+01
1.968411865234375000e+02,2.957100486755371094e+01
9.347976684570312500e+01,2.036705398559570312e+01
9.214303588867187500e+01,2.021870613098144531e+01
2.053819580078125000e+02,3.009015083312988281e+01
1.114202117919921875e+02,2.223483467102050781e+01
1.910716705322265625e+02,2.911053466796875000e+01
1.363764190673828125e+02,2.461614608764648438e+01
1.832449035644531250e+02,2.852949905395507812e+01
1.052050933837890625e+02,2.152310180664062500e+01
2.052382354736328125e+02,3.020024681091308594e+01
1.550136718750000000e+02,2.622910308837890625e+01
1.226598587036132812e+02,2.334958648681640625e+01
1.068823089599609375e+02,2.176565551757812500e+01
1.936527862548828125e+02,2.931578063964843750e+01
1.886397399902343750e+02,2.892237472534179688e+01
1.108838958740234375e+02,2.217873191833496094e+01
1.190944595336914062e+02,2.292238044738769531e+01
1.489845581054687500e+02,2.565034294128417969e+01
1.045123596191406250e+02,2.147159957885742188e+01
1.898585205078125000e+02,2.899530601501464844e+01
9.637963104248046875e+01,2.066126251220703125e+01
9.425151824951171875e+01,2.045564651489257812e+01
1.935942382812500000e+02,2.928200531005859375e+01
1.383346405029296875e+02,2.477154350280761719e+01
1.576325836181640625e+02,2.638655090332031250e+01
2.046140899658203125e+02,3.013527488708496094e+01
1.669459075927734375e+02,2.720523834228515625e+01
2.079833374023437500e+02,3.028186798095703125e+01
1.236361541748046875e+02,2.335276603698730469e+01
1.081789550781250000e+02,2.189265060424804688e+01
1.589024658203125000e+02,2.646731948852539062e+01
2.003832244873046875e+02,2.984125709533691406e+01
1.850763549804687500e+02,2.866678810119628906e+01
1.139885406494140625e+02,2.258805084228515625e+01
1.242157669067382812e+02,2.345795631408691406e+01
1.381601104736328125e+02,2.473990631103515625e+01
9.785661315917968750e+01,2.083440780639648438e+01
1.196136322021484375e+02,2.303586196899414062e+01
1.764328155517578125e+02,2.798406219482421875e+01
1.533635559082031250e+02,2.601845169067382812e+01
1.764139251708984375e+02,2.793589782714843750e+01
1.842761383056640625e+02,2.860180664062500000e+01
1.673185729980468750e+02,2.720644950866699219e+01
1.607638702392578125e+02,2.663659667968750000e+01
1.886189880371093750e+02,2.894082450866699219e+01
2.093932495117187500e+02,3.049724769592285156e+01
1.715220336914062500e+02,2.766184616088867188e+01
1.391331176757812500e+02,2.474558830261230469e+01
9.436862182617187500e+01,2.043618202209472656e+01
1.492857971191406250e+02,2.573987960815429688e+01
1.116528778076171875e+02,2.216089248657226562e+01
1.419069671630859375e+02,2.503180313110351562e+01
