runtime,l1_error,l2_error,rel_error
5.340956535339355469e+02,1.204313193991616870e+01,4.754852107215394312e+02,3.040413181712497415e-01
2.760753629207611084e+02,9.196345969443013857e+00,2.563336298218271168e+02,2.188441425698896547e-01
3.349468686580657959e+02,1.292237809011178129e+01,5.670502341153384123e+02,4.030659500749485535e-01
1.085695928096771240e+03,8.929226069866537330e+00,3.200088200171126118e+02,3.038711992522811212e-01
3.561715712547302246e+02,9.276101927096469524e+00,2.057915764968134624e+02,2.959466292441530477e-01
2.801061730384826660e+02,6.693467055287880108e+00,1.154803778199801911e+02,2.031808561519256873e-01
2.788236980438232422e+02,1.044377433591080973e+01,4.151260466572279029e+02,2.113546229708280211e-01
2.852272069454193115e+02,7.518612509179818382e+00,1.735682316403034520e+02,1.579771830335114646e-01
3.065727877616882324e+02,1.047440087623062510e+01,2.771631170126590860e+02,2.520156955195466120e-01
6.147207503318786621e+02,1.111652320365230651e+01,3.386338771109957406e+02,3.236842440327192816e-01
