runtime,l1_error,l2_error,rel_error
3.377206754684448242e+01,9.038102613774534350e-04,1.282563796508553046e-06,5.080489001689430378e-03
3.382231307029724121e+01,8.444917702262167390e-04,1.200367503384318266e-06,4.901641719286952900e-03
3.288712859153747559e+01,7.847376720559661942e-04,9.385467124433061618e-07,4.338204926989813921e-03
3.324253702163696289e+01,9.329601896592309594e-04,1.461802205378232800e-06,5.087883582397672265e-03
3.446923875808715820e+01,6.534746164169424713e-04,7.361117676702402794e-07,3.338356410320772374e-03
3.325369787216186523e+01,1.275058559467292510e-03,2.162105594583197200e-06,9.433108385734837245e-03
3.250307536125183105e+01,1.025637386085509516e-03,1.552292984102735895e-06,8.708745556508015392e-03
3.278740429878234863e+01,9.914104344416374733e-04,1.665752673856432636e-06,6.046712603584890496e-03
3.268947672843933105e+01,7.363111793663068734e-04,1.134325376204124381e-06,6.619361154103046117e-03
3.228947138786315918e+01,1.138463751820530893e-03,3.296542630054533214e-06,5.488950470920639542e-03
