x,nn
1.000000000000000000e+02,2.182763671875000000e+03
1.010101010101010104e+02,2.182763671875000000e+03
1.020202020202020208e+02,2.182763671875000000e+03
1.030303030303030312e+02,2.182763671875000000e+03
1.040404040404040416e+02,2.182763671875000000e+03
1.050505050505050519e+02,2.182763671875000000e+03
1.060606060606060623e+02,2.182763671875000000e+03
1.070707070707070727e+02,2.182763671875000000e+03
1.080808080808080831e+02,2.182763671875000000e+03
1.090909090909090935e+02,2.182763671875000000e+03
1.101010101010101039e+02,2.182763671875000000e+03
1.111111111111111143e+02,2.182763671875000000e+03
1.121212121212121247e+02,2.182763671875000000e+03
1.131313131313131350e+02,2.182763671875000000e+03
1.141414141414141454e+02,2.182763671875000000e+03
1.151515151515151558e+02,2.182763671875000000e+03
1.161616161616161662e+02,2.182763671875000000e+03
1.171717171717171766e+02,2.182763671875000000e+03
1.181818181818181870e+02,2.182763671875000000e+03
1.191919191919191974e+02,2.182763671875000000e+03
1.202020202020202078e+02,2.182763671875000000e+03
1.212121212121212182e+02,2.182763671875000000e+03
1.222222222222222285e+02,2.182763671875000000e+03
1.232323232323232389e+02,2.182763671875000000e+03
1.242424242424242493e+02,2.182763671875000000e+03
1.252525252525252597e+02,2.182763671875000000e+03
1.262626262626262701e+02,2.182763671875000000e+03
1.272727272727272805e+02,2.182763671875000000e+03
1.282828282828282909e+02,2.182763671875000000e+03
1.292929292929293013e+02,2.182763671875000000e+03
1.303030303030303116e+02,2.182763671875000000e+03
1.313131313131313220e+02,2.182763671875000000e+03
1.323232323232323324e+02,2.182763671875000000e+03
1.333333333333333428e+02,2.182763671875000000e+03
1.343434343434343532e+02,2.182763671875000000e+03
1.353535353535353636e+02,2.182763671875000000e+03
1.363636363636363740e+02,2.182763671875000000e+03
1.373737373737373844e+02,2.182763671875000000e+03
1.383838383838383947e+02,2.182763671875000000e+03
1.393939393939394051e+02,2.182763671875000000e+03
1.404040404040404155e+02,2.182763671875000000e+03
1.414141414141414259e+02,2.182763671875000000e+03
1.424242424242424363e+02,2.182763671875000000e+03
1.434343434343434467e+02,2.182763671875000000e+03
1.444444444444444571e+02,2.182763671875000000e+03
1.454545454545454675e+02,2.182763671875000000e+03
1.464646464646464779e+02,2.182763671875000000e+03
1.474747474747474882e+02,2.182763671875000000e+03
1.484848484848484986e+02,2.182763671875000000e+03
1.494949494949494806e+02,2.182763671875000000e+03
1.505050505050505194e+02,2.182763671875000000e+03
1.515151515151515014e+02,2.182763671875000000e+03
1.525252525252525402e+02,2.182763671875000000e+03
1.535353535353535221e+02,2.182763671875000000e+03
1.545454545454545610e+02,2.182763671875000000e+03
1.555555555555555429e+02,2.182763671875000000e+03
1.565656565656565817e+02,2.182763671875000000e+03
1.575757575757575637e+02,2.182763671875000000e+03
1.585858585858586025e+02,2.182763671875000000e+03
1.595959595959595845e+02,2.182763671875000000e+03
1.606060606060606233e+02,2.182763671875000000e+03
1.616161616161616053e+02,2.182763671875000000e+03
1.626262626262626441e+02,2.182763671875000000e+03
1.636363636363636260e+02,2.182763671875000000e+03
1.646464646464646648e+02,2.182763671875000000e+03
1.656565656565656468e+02,2.182763671875000000e+03
1.666666666666666856e+02,2.182763671875000000e+03
1.676767676767676676e+02,2.182763671875000000e+03
1.686868686868687064e+02,2.182763671875000000e+03
1.696969696969696884e+02,2.182763671875000000e+03
1.707070707070707272e+02,2.182763671875000000e+03
1.717171717171717091e+02,2.182763671875000000e+03
1.727272727272727479e+02,2.182763671875000000e+03
1.737373737373737299e+02,2.182763671875000000e+03
1.747474747474747687e+02,2.182763671875000000e+03
1.757575757575757507e+02,2.182763671875000000e+03
1.767676767676767895e+02,2.182763671875000000e+03
1.777777777777777715e+02,2.182763671875000000e+03
1.787878787878788103e+02,2.182763671875000000e+03
1.797979797979797922e+02,2.182763671875000000e+03
1.808080808080808310e+02,2.182763671875000000e+03
1.818181818181818130e+02,2.182763671875000000e+03
1.828282828282828518e+02,2.182763671875000000e+03
1.838383838383838338e+02,2.182763671875000000e+03
1.848484848484848726e+02,2.182763671875000000e+03
1.858585858585858546e+02,2.182763671875000000e+03
1.868686868686868934e+02,2.182763671875000000e+03
1.878787878787878753e+02,2.182763671875000000e+03
1.888888888888889142e+02,2.182763671875000000e+03
1.898989898989898961e+02,2.182763671875000000e+03
1.909090909090909349e+02,2.182763671875000000e+03
1.919191919191919169e+02,2.182763671875000000e+03
1.929292929292929557e+02,2.182763671875000000e+03
1.939393939393939377e+02,2.182763671875000000e+03
1.949494949494949765e+02,2.182763671875000000e+03
1.959595959595959584e+02,2.182763671875000000e+03
1.969696969696969688e+02,2.182763671875000000e+03
1.979797979797979792e+02,2.182763671875000000e+03
1.989898989898989896e+02,2.182763671875000000e+03
2.000000000000000000e+02,2.182763671875000000e+03
